phi,mean_impact_bps,sem_iid,n,regime,granularity,variant,method,seed,primary
0.4,0.3960285493151742,0.4074860393098158,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.45,0.2794075843995646,0.4301884986017189,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.5,0.36881583375194354,0.4419536880839977,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.55,0.3519783227445877,0.4483946947341049,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.6000000000000001,0.2799276208222244,0.46801466248854673,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.65,0.417047852101819,0.4853966712125354,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.7000000000000001,0.40237984371135627,0.49432952491061843,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.75,0.5958019654559772,0.5100484039036841,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.8,0.7675121389942465,0.5419045135410873,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.8500000000000001,0.8455186405500537,0.5609712793982938,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.9,0.9806690605843928,0.6011135974640069,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.9500000000000001,0.974297305993341,0.6548897309897297,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
1.0,1.0465822577767028,0.7742890005462825,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.0,0.0,0.0,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.05,0.631967107148049,0.25479839123911147,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.1,0.9360549528882239,0.3149412011318224,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.15000000000000002,1.121816546894184,0.3387810026651268,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.2,1.279202560321449,0.37116188788575943,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.25,1.403999539173635,0.3802568891047352,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.30000000000000004,1.480607197769485,0.39862424565711835,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.35000000000000003,1.54467611459595,0.41339158492373845,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.4,1.6354598052160596,0.43170096014351267,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.45,1.7694833897922655,0.45634510950246615,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.5,2.057841566086264,0.5034999090514556,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.55,2.2073877363516963,0.5399835086381279,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.6000000000000001,2.3127936271121015,0.5487827037210261,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.65,2.185112142407473,0.5957830203196415,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.7000000000000001,2.2443410820318466,0.6001271433782699,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.75,2.335586971878876,0.6082912702887489,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.8,2.3785263977920446,0.6175443767723962,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.8500000000000001,2.2784829078573114,0.6864526846549025,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.9,2.137169914958073,0.7462255343892539,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.9500000000000001,1.7892866738409823,0.8011708920593126,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
1.0,1.0855836882576193,0.9211412952254924,71,normal,aggressive,threshold_wait20s,time_threshold,71,False
0.0,0.0,0.0,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.05,0.3405866134832243,0.01712308546935709,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.1,0.4335215235551702,0.019626453790278626,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.15000000000000002,0.5041689497875913,0.021860299386237524,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.2,0.5719911517373272,0.023797865781057543,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.25,0.6291758359673008,0.025471655808307746,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.30000000000000004,0.6763209272802136,0.02715671338541746,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.35000000000000003,0.7236008175254853,0.028641105756215007,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.4,0.7759165677297912,0.030366975087784392,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.45,0.826086245895537,0.0317601315256293,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.5,0.8715732944580608,0.032703469957347145,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.55,0.9208175309823917,0.034365734844105045,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.6000000000000001,0.9773215798213138,0.03717023245972319,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.65,1.0368680274422526,0.04003773896927547,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.7000000000000001,1.1010681405485545,0.04231167432479191,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.75,1.164533934996559,0.0440606647075089,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.8,1.2450070711794006,0.04737659350307639,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.8500000000000001,1.3250760704719642,0.049244936028338036,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.9,1.425497921077852,0.050832921694635075,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.9500000000000001,1.577041881444008,0.05339453029968838,2172,normal,aggressive,local_run_1s,local_runs,7,True
1.0,2.236569908150171,0.06133531799376274,2172,normal,aggressive,local_run_1s,local_runs,7,True
0.0,0.0,0.0,21259,normal,fill,random_n6,random_traders,7,True
0.05,0.871545088703565,0.011991917419144814,21259,normal,fill,random_n6,random_traders,7,True
0.1,1.082836174941008,0.013462729090605328,21259,normal,fill,random_n6,random_traders,7,True
