regime,granularity,variant,method,seed,primary,date,n,mean_impact_bps,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-19,1557,0.7654976897640672,0.255,0.11023393596247108,0.8499634398512267,0.8374107543719387,False,16
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-20,3992,1.1437273234090448,0.22399999999999998,0.035629165209145275,0.7862036262048286,0.6421932285496648,False,17
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-21,3263,0.8986486137852933,0.132,0.013207295736670057,0.6417608876427241,0.7360860162405132,False,17
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-22,3561,0.9336670746033434,0.123,0.019288372936281033,0.8253128875320317,0.8774400301999541,False,15
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-23,3578,0.9155281378028439,0.14300000000000002,0.01622137560713601,0.8478526110420861,0.861918973881574,False,17
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-24,3644,0.8854414054468547,0.15199999999999997,0.014093597611893476,0.8348900736095393,0.9208648798266971,False,16
normal,fill,random_n6,random_traders,7,True,2026-07-18,6221,1.1243518934025867,0.273,0.12294980002910784,0.923807357629225,0.7387132176214272,False,16
normal,fill,random_n6,random_traders,7,True,2026-07-19,6346,1.7676076752632919,0.11499999999999999,0.06283064657298487,0.6081536060551977,0.6661022127342497,False,16
normal,fill,random_n6,random_traders,7,True,2026-07-20,11859,2.586595208619248,0.20700000000000002,0.08238490936169393,0.6573229193407653,0.5049422095633902,False,18
normal,fill,random_n6,random_traders,7,True,2026-07-21,11204,1.9322798732629656,0.189,0.059234207593292974,0.7623834685514373,0.6122109493938359,False,17
normal,fill,random_n6,random_traders,7,True,2026-07-22,11179,1.8341871460340469,0.10599999999999998,0.03563288077002826,0.8720172238716457,0.8191093384657779,False,17
normal,fill,random_n6,random_traders,7,True,2026-07-23,10513,1.786501414845824,0.15699999999999997,0.04254998746402686,0.9115285798788688,0.8071253184439211,False,17
normal,fill,random_n6,random_traders,7,True,2026-07-24,10901,1.7070634678342524,0.16799999999999998,0.035852283914069215,0.912900643756612,0.8303223204860566,False,17
normal,fill,random_n6,random_traders,23,True,2026-07-18,6160,1.1281332138169433,0.23099999999999998,0.08661038218883375,0.9595017057581378,0.8178218956865599,False,16
normal,fill,random_n6,random_traders,23,True,2026-07-19,6381,1.745474536034282,0.122,0.06729442068089865,0.6423240077629737,0.6892306024816126,False,16
normal,fill,random_n6,random_traders,23,True,2026-07-20,11911,2.5880721937793854,0.15299999999999997,0.047820163124595035,0.7784476731944732,0.6594980673852309,False,18
normal,fill,random_n6,random_traders,23,True,2026-07-21,11247,1.9280007610992735,0.16499999999999998,0.046445756963504115,0.8729752484913037,0.7487278707346422,False,17
normal,fill,random_n6,random_traders,23,True,2026-07-22,11188,1.8336461572250744,0.127,0.043506764529526905,0.8964495171056973,0.8712731718306419,False,17
normal,fill,random_n6,random_traders,23,True,2026-07-23,10587,1.7918800128243562,0.15599999999999997,0.041678336501032774,0.916996374659595,0.8182486334882471,False,17
normal,fill,random_n6,random_traders,23,True,2026-07-24,10869,1.7005281072548337,0.14900000000000002,0.02957456042911681,0.9497181438869301,0.8755615207624902,False,17
normal,fill,random_n6,random_traders,71,True,2026-07-18,6216,1.1211186721338489,0.266,0.1185274005046378,0.926233984604976,0.7261235970999188,False,17
normal,fill,random_n6,random_traders,71,True,2026-07-19,6380,1.7557107044440354,0.127,0.07118924284653919,0.6906607770995687,0.7254659118333917,False,17
normal,fill,random_n6,random_traders,71,True,2026-07-20,11876,2.6076619008889703,0.243,0.11506008919801555,0.6385337290075771,0.46045252561479433,False,18
normal,fill,random_n6,random_traders,71,True,2026-07-21,11099,1.9384539276978512,0.14700000000000002,0.03868835170944153,0.9006939880503607,0.8027058284019576,False,17
normal,fill,random_n6,random_traders,71,True,2026-07-22,11167,1.8276817692102472,0.118,0.04013145133880423,0.8932912356243434,0.8318167752811555,False,17
normal,fill,random_n6,random_traders,71,True,2026-07-23,10555,1.7558167321396405,0.15699999999999997,0.04197196978780447,0.9234845060167599,0.8070911906577303,False,17
normal,fill,random_n6,random_traders,71,True,2026-07-24,10822,1.6919634216581565,0.18,0.04100173174891711,0.9307038844335528,0.7990385898079918,False,17
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-18,937,0.2978775442504882,0.181,0.01542763196706453,0.47758825391330706,0.5086070064056742,False,10
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-19,885,0.6623689441296533,0.15499999999999997,0.03953005072553786,0.4928155853472874,0.4728608945617484,False,10
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-20,1685,0.9659721779002042,-0.0020000000000000018,0.0022571226091769193,5.775231886850918e-05,6.746342474206468e-05,False,14
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-21,1669,0.6926300183114262,0.064,0.005099478548642012,0.1571620166858566,0.14711510596911626,False,12
