clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,1.3333333333333333,2.1924137888236874,1.1215843833619383,0.9979460573986993,1.9547470715060675,2.196926149033098,0.03927824173484258,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.4166666666666665,2.159364456580259,1.104677166707067,0.9829026148788068,1.9547470715060675,2.196926149033098,0.0404381717204367,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.5,2.129526396559245,1.089412757077833,0.9693208838615186,1.9547470715060675,2.196926149033098,0.04141416755168071,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.5833333333333333,2.091491914349349,1.0699552616482113,0.9520082936196321,1.9547470715060675,2.196926149033098,0.0426002540406938,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.6666666666666665,2.048115474344141,1.0477649534300804,0.9322641433557287,1.9547470715060675,2.196926149033098,0.04365118708263488,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.75,2.019076342554541,1.0329092556199149,0.9190460696383301,1.9547470715060675,2.196926149033098,0.044668648359105105,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.8333333333333333,1.9847231008633854,1.0153349913112915,0.9034091117431934,1.9547470715060675,2.196926149033098,0.04575060154963479,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.9166666666666665,1.971414223861807,1.0085265007420618,0.8973511579938442,1.9547470715060675,2.196926149033098,0.046564288399132577,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.0,1.9641447411574042,1.0048076141350073,0.8940422244151701,1.9547470715060675,2.196926149033098,0.04753574255281692,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.083333333333333,1.9518876541920225,0.9985371931971526,0.8884630259652011,1.9547470715060675,2.196926149033098,0.048390641532644614,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.1666666666666665,1.9510568278715679,0.998112163108828,0.8880848492473263,1.9547470715060675,2.196926149033098,0.049282937214036385,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.25,1.9524654535391828,0.9988327809770668,0.8887260295019448,1.9547470715060675,2.196926149033098,0.05035861741144054,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.333333333333333,1.9399411310489452,0.9924256489890967,0.8830251904019369,1.9547470715060675,2.196926149033098,0.05120773121085732,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.4166666666666665,1.928374880561629,0.9865086428168327,0.8777604478923142,1.9547470715060675,2.196926149033098,0.0520204254645359,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.5,1.9234108014560698,0.9839691433706285,0.8755008912350529,1.9547470715060675,2.196926149033098,0.052964121637153534,37483,37719,normal,aggressive,random_n20,random_traders,7,False
