regime,granularity,variant,method,seed,primary,date,input_rows,assigned_rows,all_groups,groups_ge2,measured_parents,assigned_share
stress,aggressive,random_n6,random_traders,71,True,2026-07-28,28439,28439,12254,6520,6520,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-07-29,32943,32943,13665,7463,7463,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-07-30,23664,23664,10083,5371,5370,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-07-31,29481,29481,11672,6208,6207,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-08-01,17093,17093,6873,3616,3615,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-08-02,18835,18835,7780,4086,4085,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-07-26,17336,17336,7164,3786,3785,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-07-27,28142,28142,12790,6704,6704,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-07-28,28439,28439,12967,6723,6722,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-07-29,32943,32943,14840,7721,7721,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-07-30,23664,23664,10891,5518,5518,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-07-31,29481,29481,12634,6606,6606,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-08-01,17093,17093,7001,3673,3673,1.0
stress,aggressive,random_n20,random_traders,7,False,2026-08-02,18835,18835,8270,4240,4239,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-07-26,17336,17336,7217,3747,3746,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-07-27,28142,28142,12651,6726,6725,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-07-28,28439,28439,13057,6835,6834,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-07-29,32943,32943,14944,7793,7793,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-07-30,23664,23664,10785,5565,5564,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-07-31,29481,29481,12458,6536,6535,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-08-01,17093,17093,7093,3644,3643,1.0
stress,aggressive,random_n20,random_traders,23,False,2026-08-02,18835,18835,8251,4229,4228,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-07-26,17336,17336,7100,3854,3854,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-07-27,28142,28142,12781,6718,6718,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-07-28,28439,28439,12973,6721,6720,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-07-29,32943,32943,14895,7810,7809,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-07-30,23664,23664,10631,5564,5563,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-07-31,29481,29481,12480,6577,6576,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-08-01,17093,17093,7230,3651,3651,1.0
stress,aggressive,random_n20,random_traders,71,False,2026-08-02,18835,18835,8331,4323,4323,1.0
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-26,17336,12476,11410,804,804,0.7196585140747578
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-27,28142,17283,15288,1466,1466,0.6141354559022102
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-28,28439,18108,16041,1501,1501,0.6367312493406941
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-29,32943,19196,16973,1684,1684,0.5827034574871748
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-30,23664,16705,15061,1290,1290,0.7059246112237999
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-31,29481,17663,15701,1480,1480,0.5991316441097656
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-08-01,17093,13086,12006,850,850,0.7655765518048324
stress,aggressive,threshold_wait5s,time_threshold,7,True,2026-08-02,18835,13735,12597,906,906,0.7292275019909743
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-26,17336,12474,11413,820,820,0.7195431472081218
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-27,28142,17280,15300,1481,1481,0.6140288536706702
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-28,28439,18200,16125,1525,1525,0.6399662435388024
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-29,32943,19183,16857,1677,1677,0.5823088364751237
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-30,23664,16622,14956,1323,1323,0.7024171737660582
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-31,29481,17623,15589,1513,1513,0.5977748380312744
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-08-01,17093,13079,11957,897,897,0.7651670274381326
stress,aggressive,threshold_wait5s,time_threshold,23,True,2026-08-02,18835,13788,12523,968,968,0.7320414122644013
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-26,17336,12466,11433,830,830,0.7190816797415782
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-27,28142,17454,15508,1432,1432,0.6202117830999929
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-28,28439,18116,15983,1530,1530,0.6370125531840078
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-29,32943,19155,16907,1671,1671,0.5814588835260905
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-30,23664,16581,14931,1298,1298,0.700684584178499
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-31,29481,17688,15673,1513,1513,0.5999796479088226
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-08-01,17093,13056,11903,926,926,0.7638214473761189
stress,aggressive,threshold_wait5s,time_threshold,71,True,2026-08-02,18835,13762,12510,983,983,0.730661003451022
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-26,17336,9281,8588,580,580,0.535359944623904
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-27,28142,11124,9977,886,886,0.39528107455049394
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-28,28439,11265,10067,923,923,0.39611097436618725
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-29,32943,11737,10548,923,923,0.35628206295722914
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-30,23664,11130,10163,803,803,0.47033468559837727
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-31,29481,10907,9726,928,928,0.3699670974525966
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-08-01,17093,9348,8612,608,608,0.5468905399871292
stress,aggressive,threshold_wait20s,time_threshold,7,False,2026-08-02,18835,9932,9208,609,609,0.5273161667109105
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-26,17336,9093,8398,581,580,0.5245154591601292
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-27,28142,11098,9971,868,868,0.3943571885438135
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-28,28439,11399,10170,925,925,0.40082281374169276
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-29,32943,11503,10230,989,989,0.349178884740309
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-30,23664,11100,10108,811,811,0.46906693711967545
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-31,29481,11023,9921,877,877,0.3739018350802212
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-08-01,17093,9500,8765,606,606,0.555783069092611
stress,aggressive,threshold_wait20s,time_threshold,23,False,2026-08-02,18835,10053,9221,670,669,0.5337403769577913
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-26,17336,9275,8570,579,579,0.5350138440239963
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-27,28142,11174,10049,893,893,0.3970577784094947
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-28,28439,11203,10056,879,879,0.39393086958050566
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-29,32943,11606,10353,969,969,0.3523054973742525
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-30,23664,11007,9975,838,838,0.4651369168356998
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-31,29481,11026,9872,867,867,0.374003595536108
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-08-01,17093,9433,8616,663,663,0.5518633358684841
stress,aggressive,threshold_wait20s,time_threshold,71,False,2026-08-02,18835,10027,9307,612,612,0.532359968144412
stress,aggressive,local_run_1s,local_runs,7,True,2026-07-26,17336,16545,12106,1931,1931,0.9543724042455007
stress,aggressive,local_run_1s,local_runs,7,True,2026-07-27,28142,26145,17169,4162,4162,0.9290384478715088
stress,aggressive,local_run_1s,local_runs,7,True,2026-07-28,28439,26493,18133,4421,4420,0.931572840113928
stress,aggressive,local_run_1s,local_runs,7,True,2026-07-29,32943,30519,18510,5268,5268,0.9264183589836991
stress,aggressive,local_run_1s,local_runs,7,True,2026-07-30,23664,22450,15838,3568,3568,0.9486984448951995
stress,aggressive,local_run_1s,local_runs,7,True,2026-07-31,29481,27500,17554,4404,4403,0.9328041789627217
stress,aggressive,local_run_1s,local_runs,7,True,2026-08-01,17093,16366,12726,2113,2113,0.957467969344176
stress,aggressive,local_run_1s,local_runs,7,True,2026-08-02,18835,17886,13130,2494,2494,0.9496150783116538
stress,fill,random_n6,random_traders,7,True,2026-07-26,30995,30995,10319,6134,6133,1.0
stress,fill,random_n6,random_traders,7,True,2026-07-27,58517,58517,19202,11758,11757,1.0
stress,fill,random_n6,random_traders,7,True,2026-07-28,59168,59168,20466,12427,12426,1.0
stress,fill,random_n6,random_traders,7,True,2026-07-29,64728,64728,21480,13196,13193,1.0
stress,fill,random_n6,random_traders,7,True,2026-07-30,48072,48072,16216,9924,9924,1.0
stress,fill,random_n6,random_traders,7,True,2026-07-31,60112,60112,18785,11562,11561,1.0
stress,fill,random_n6,random_traders,7,True,2026-08-01,30822,30822,10876,6507,6507,1.0
stress,fill,random_n6,random_traders,7,True,2026-08-02,37660,37660,12890,7790,7789,1.0
stress,fill,random_n6,random_traders,23,True,2026-07-26,30995,30995,10269,6153,6152,1.0
stress,fill,random_n6,random_traders,23,True,2026-07-27,58517,58517,19253,11839,11838,1.0
stress,fill,random_n6,random_traders,23,True,2026-07-28,59168,59168,20365,12368,12367,1.0
stress,fill,random_n6,random_traders,23,True,2026-07-29,64728,64728,21649,13245,13244,1.0
stress,fill,random_n6,random_traders,23,True,2026-07-30,48072,48072,16573,9951,9950,1.0
stress,fill,random_n6,random_traders,23,True,2026-07-31,60112,60112,18732,11573,11572,1.0
stress,fill,random_n6,random_traders,23,True,2026-08-01,30822,30822,10784,6438,6437,1.0
stress,fill,random_n6,random_traders,23,True,2026-08-02,37660,37660,12888,7695,7694,1.0
stress,fill,random_n6,random_traders,71,True,2026-07-26,30995,30995,10304,6201,6200,1.0
stress,fill,random_n6,random_traders,71,True,2026-07-27,58517,58517,19177,11787,11787,1.0
stress,fill,random_n6,random_traders,71,True,2026-07-28,59168,59168,20427,12440,12440,1.0
stress,fill,random_n6,random_traders,71,True,2026-07-29,64728,64728,21498,13265,13263,1.0
stress,fill,random_n6,random_traders,71,True,2026-07-30,48072,48072,16293,9961,9961,1.0
stress,fill,random_n6,random_traders,71,True,2026-07-31,60112,60112,18800,11635,11634,1.0
stress,fill,random_n6,random_traders,71,True,2026-08-01,30822,30822,10842,6480,6480,1.0
stress,fill,random_n6,random_traders,71,True,2026-08-02,37660,37660,12850,7690,7689,1.0
stress,fill,threshold_wait5s,time_threshold,7,True,2026-07-26,30995,17889,16652,975,975,0.5771576060654945
stress,fill,threshold_wait5s,time_threshold,7,True,2026-07-27,58517,24896,22533,1783,1783,0.4254490148162073
stress,fill,threshold_wait5s,time_threshold,7,True,2026-07-28,59168,25962,23410,1906,1906,0.43878447809626825
stress,fill,threshold_wait5s,time_threshold,7,True,2026-07-29,64728,26014,23349,1983,1983,0.40189716969472256
