phi,normalised_impact,sem_iid,n,regime,variant,method,seed
1,0.0313768,0.000582685,4589,stress,current_run,local_runs,7
0.05,0.00833575,0.000302176,15139,stress,random_n6,random_traders,7
0.1,0.0124828,0.000391167,15139,stress,random_n6,random_traders,7
0.15,0.0160295,0.000456209,15139,stress,random_n6,random_traders,7
0.2,0.0188929,0.000502792,15139,stress,random_n6,random_traders,7
0.25,0.0217036,0.000547126,15139,stress,random_n6,random_traders,7
0.3,0.024209,0.000586348,15139,stress,random_n6,random_traders,7
0.35,0.0269023,0.000623284,15139,stress,random_n6,random_traders,7
0.4,0.0294459,0.000656474,15139,stress,random_n6,random_traders,7
0.45,0.0319252,0.000690206,15139,stress,random_n6,random_traders,7
0.5,0.0344074,0.000722585,15139,stress,random_n6,random_traders,7
0.55,0.0370137,0.000755108,15139,stress,random_n6,random_traders,7
0.6,0.0395545,0.00078472,15139,stress,random_n6,random_traders,7
0.65,0.0422051,0.000819203,15139,stress,random_n6,random_traders,7
0.7,0.0449228,0.000852322,15139,stress,random_n6,random_traders,7
0.75,0.0478317,0.000883039,15139,stress,random_n6,random_traders,7
0.8,0.0509523,0.000920948,15139,stress,random_n6,random_traders,7
0.85,0.0546838,0.000965533,15139,stress,random_n6,random_traders,7
0.9,0.0593157,0.00101376,15139,stress,random_n6,random_traders,7
0.95,0.0655612,0.00106978,15139,stress,random_n6,random_traders,7
1,0.085794,0.0012043,15139,stress,random_n6,random_traders,7
0.05,0.00932824,0.000351849,15264,stress,random_n6,random_traders,23
0.1,0.0137191,0.000446577,15264,stress,random_n6,random_traders,23
0.15,0.0176157,0.00051721,15264,stress,random_n6,random_traders,23
0.2,0.0207923,0.000574031,15264,stress,random_n6,random_traders,23
0.25,0.0236595,0.000618476,15264,stress,random_n6,random_traders,23
0.3,0.0263622,0.000664365,15264,stress,random_n6,random_traders,23
0.35,0.0290589,0.000705992,15264,stress,random_n6,random_traders,23
0.4,0.0318247,0.000746453,15264,stress,random_n6,random_traders,23
0.45,0.0346714,0.000789275,15264,stress,random_n6,random_traders,23
0.5,0.0374657,0.000825041,15264,stress,random_n6,random_traders,23
0.55,0.0402331,0.0008583,15264,stress,random_n6,random_traders,23
0.6,0.0431162,0.000890285,15264,stress,random_n6,random_traders,23
0.65,0.0461317,0.000923645,15264,stress,random_n6,random_traders,23
0.7,0.0491652,0.000956924,15264,stress,random_n6,random_traders,23
0.75,0.0522875,0.00099248,15264,stress,random_n6,random_traders,23
0.8,0.0557726,0.00103135,15264,stress,random_n6,random_traders,23
0.85,0.0600009,0.00107275,15264,stress,random_n6,random_traders,23
0.9,0.0653847,0.00112563,15264,stress,random_n6,random_traders,23
0.95,0.0726676,0.00118989,15264,stress,random_n6,random_traders,23
1,0.0948835,0.00136474,15264,stress,random_n6,random_traders,23
0.05,0.00846143,0.000315999,15196,stress,random_n6,random_traders,71
0.1,0.0127693,0.000406848,15196,stress,random_n6,random_traders,71
0.15,0.0163711,0.000470059,15196,stress,random_n6,random_traders,71
0.2,0.0193983,0.000524051,15196,stress,random_n6,random_traders,71
0.25,0.0220093,0.000569224,15196,stress,random_n6,random_traders,71
0.3,0.0246616,0.000604842,15196,stress,random_n6,random_traders,71
0.35,0.0271405,0.000641086,15196,stress,random_n6,random_traders,71
0.4,0.0297781,0.000677469,15196,stress,random_n6,random_traders,71
0.45,0.0324555,0.000713029,15196,stress,random_n6,random_traders,71
0.5,0.0352101,0.000744422,15196,stress,random_n6,random_traders,71
0.55,0.0379618,0.000781983,15196,stress,random_n6,random_traders,71
0.6,0.0407424,0.00081715,15196,stress,random_n6,random_traders,71
0.65,0.0435592,0.000852695,15196,stress,random_n6,random_traders,71
0.7,0.0465929,0.000889928,15196,stress,random_n6,random_traders,71
0.75,0.0496163,0.000923679,15196,stress,random_n6,random_traders,71
0.8,0.052917,0.00096653,15196,stress,random_n6,random_traders,71
0.85,0.0567691,0.00101083,15196,stress,random_n6,random_traders,71
0.9,0.0614986,0.00106012,15196,stress,random_n6,random_traders,71
0.95,0.0678884,0.0011144,15196,stress,random_n6,random_traders,71
1,0.0889319,0.00126136,15196,stress,random_n6,random_traders,71
0.05,0.00170809,0.000523179,607,stress,maitrier_threshold,time_threshold,7
0.1,0.00267251,0.0006696,607,stress,maitrier_threshold,time_threshold,7
0.15,0.00320979,0.000818725,607,stress,maitrier_threshold,time_threshold,7
0.2,0.00409373,0.000967385,607,stress,maitrier_threshold,time_threshold,7
0.25,0.0050409,0.00110527,607,stress,maitrier_threshold,time_threshold,7
0.3,0.00572537,0.00120212,607,stress,maitrier_threshold,time_threshold,7
0.35,0.00636587,0.00127221,607,stress,maitrier_threshold,time_threshold,7
0.4,0.00744317,0.00146279,607,stress,maitrier_threshold,time_threshold,7
0.45,0.00805208,0.00149945,607,stress,maitrier_threshold,time_threshold,7
0.5,0.00876151,0.00158271,607,stress,maitrier_threshold,time_threshold,7
0.55,0.00936571,0.00165079,607,stress,maitrier_threshold,time_threshold,7
0.6,0.0097959,0.00170556,607,stress,maitrier_threshold,time_threshold,7
0.65,0.0105283,0.00176147,607,stress,maitrier_threshold,time_threshold,7
0.7,0.0113288,0.00181591,607,stress,maitrier_threshold,time_threshold,7
0.75,0.0120121,0.00188207,607,stress,maitrier_threshold,time_threshold,7
0.8,0.0132464,0.00193863,607,stress,maitrier_threshold,time_threshold,7
0.85,0.0142142,0.00202444,607,stress,maitrier_threshold,time_threshold,7
0.9,0.0145248,0.00210029,607,stress,maitrier_threshold,time_threshold,7
0.95,0.0162252,0.00219782,607,stress,maitrier_threshold,time_threshold,7
1,0.0209532,0.00250842,607,stress,maitrier_threshold,time_threshold,7
0.05,0.00162221,0.000826491,661,stress,maitrier_threshold,time_threshold,23
0.1,0.00194572,0.00107972,661,stress,maitrier_threshold,time_threshold,23
0.15,0.00267192,0.00121419,661,stress,maitrier_threshold,time_threshold,23
0.2,0.00328264,0.00131109,661,stress,maitrier_threshold,time_threshold,23
0.25,0.00379341,0.00140698,661,stress,maitrier_threshold,time_threshold,23
0.3,0.00397826,0.00166393,661,stress,maitrier_threshold,time_threshold,23
0.35,0.00443739,0.00181068,661,stress,maitrier_threshold,time_threshold,23
0.4,0.00522662,0.00195421,661,stress,maitrier_threshold,time_threshold,23
0.45,0.00568947,0.00202849,661,stress,maitrier_threshold,time_threshold,23
0.5,0.00637531,0.00212141,661,stress,maitrier_threshold,time_threshold,23
0.55,0.00714017,0.00222705,661,stress,maitrier_threshold,time_threshold,23
0.6,0.00750228,0.00234708,661,stress,maitrier_threshold,time_threshold,23
0.65,0.00803411,0.00240623,661,stress,maitrier_threshold,time_threshold,23
0.7,0.00880952,0.0024435,661,stress,maitrier_threshold,time_threshold,23
0.75,0.00968183,0.00250458,661,stress,maitrier_threshold,time_threshold,23
0.8,0.0107698,0.00257025,661,stress,maitrier_threshold,time_threshold,23
0.85,0.0122599,0.00265015,661,stress,maitrier_threshold,time_threshold,23
0.9,0.0139384,0.00273984,661,stress,maitrier_threshold,time_threshold,23
