bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0.32,0.321,239,1.24677,0.137017,8
0.321,0.322,229,1.2329,0.148786,8
0.322,0.323,213,1.0908,0.0710089,8
0.323,0.324,222,1.13967,0.113079,8
0.324,0.325,206,1.04791,0.0861133,8
0.325,0.326,250,1.29553,0.108343,8
0.326,0.327,219,1.14022,0.121345,8
0.327,0.328,209,1.08358,0.130571,8
0.328,0.329,219,1.12774,0.152272,8
0.329,0.33,184,0.931369,0.095025,8
0.33,0.331,189,1.03522,0.160679,8
0.331,0.332,190,1.01314,0.107422,8
0.332,0.333,209,1.06701,0.080948,8
0.333,0.334,223,1.12728,0.0907955,8
0.334,0.335,217,1.09047,0.133078,8
0.335,0.336,235,1.23291,0.124966,8
0.336,0.337,199,1.04493,0.142809,8
0.337,0.338,208,1.07674,0.137321,8
0.338,0.339,130,0.652506,0.0757288,8
0.339,0.34,192,0.991277,0.155702,8
0.34,0.341,290,1.55046,0.149743,8
0.341,0.342,225,1.15072,0.0996231,8
0.342,0.343,199,1.01667,0.106611,8
0.343,0.344,189,0.981302,0.127413,8
0.344,0.345,199,1.03883,0.105814,8
0.345,0.346,249,1.28535,0.132095,8
0.346,0.347,205,1.04404,0.0764212,8
0.347,0.348,208,1.07943,0.0779043,8
0.348,0.349,240,1.21219,0.151573,8
0.349,0.35,239,1.24797,0.172128,8
0.35,0.351,250,1.27405,0.124812,8
0.351,0.352,213,1.06534,0.0950489,8
0.352,0.353,199,1.01278,0.080821,8
0.353,0.354,199,1.06531,0.111747,8
0.354,0.355,210,1.10215,0.0797338,8
0.355,0.356,225,1.15148,0.142998,8
0.356,0.357,215,1.08717,0.114221,8
0.357,0.358,207,1.0566,0.0562073,8
0.358,0.359,226,1.15418,0.112715,8
0.359,0.36,215,1.09075,0.0805226,8
0.36,0.361,117,0.594628,0.0731316,8
0.361,0.362,187,0.929008,0.122402,8
0.362,0.363,313,1.61764,0.120168,8
0.363,0.364,193,0.964991,0.102403,8
0.364,0.365,226,1.16719,0.134055,8
0.365,0.366,216,1.10267,0.116662,8
0.366,0.367,203,1.01696,0.0650699,8
0.367,0.368,197,1.01809,0.135512,8
0.368,0.369,170,0.852626,0.0791838,8
0.369,0.37,208,1.06128,0.0817527,8
0.37,0.371,195,0.984901,0.0884092,8
0.371,0.372,192,0.958584,0.0910117,8
0.372,0.373,184,0.934923,0.0621062,8
0.373,0.374,180,0.912156,0.0636583,8
0.374,0.375,172,0.868593,0.0937413,8
0.375,0.376,185,0.922352,0.087484,8
0.376,0.377,183,0.967736,0.148842,8
0.377,0.378,211,1.08466,0.132076,8
0.378,0.379,208,1.06202,0.092664,8
0.379,0.38,172,0.865457,0.0445418,8
0.38,0.381,192,0.98608,0.099336,8
0.381,0.382,208,0.994171,0.127254,8
0.382,0.383,172,0.835274,0.14845,8
0.383,0.384,191,0.950308,0.216118,8
0.384,0.385,280,1.43429,0.107844,8
0.385,0.386,228,1.14567,0.15045,8
0.386,0.387,214,1.07579,0.0908183,8
0.387,0.388,217,1.0945,0.0885951,8
0.388,0.389,219,1.11863,0.0942465,8
0.389,0.39,223,1.10792,0.0974427,8
0.39,0.391,200,0.99934,0.0788577,8
0.391,0.392,219,1.09581,0.0549567,8
0.392,0.393,212,1.07164,0.0778951,8
0.393,0.394,201,0.989445,0.0983358,8
0.394,0.395,178,0.874489,0.0964927,8
0.395,0.396,185,0.910519,0.133516,8
0.396,0.397,189,0.98713,0.0692415,8
0.397,0.398,182,0.913636,0.0881321,8
0.398,0.399,207,1.03109,0.101653,8
0.399,0.4,179,0.91539,0.0952009,8
0.4,0.401,199,0.980779,0.0826432,8
0.401,0.402,184,0.89837,0.119342,8
0.402,0.403,205,1.02231,0.0830841,8
0.403,0.404,192,0.965632,0.0688997,8
0.404,0.405,124,0.607406,0.0882037,8
0.405,0.406,151,0.741642,0.12903,8
0.406,0.407,277,1.43122,0.11887,8
0.407,0.408,179,0.927869,0.0849026,8
0.408,0.409,185,0.945758,0.0878106,8
0.409,0.41,192,1.00132,0.0731491,8
0.41,0.411,187,0.963686,0.0545366,8
0.411,0.412,239,1.2243,0.12725,8
0.412,0.413,232,1.23103,0.174773,8
0.413,0.414,211,1.08396,0.121631,8
0.414,0.415,209,1.07104,0.0680601,8
0.415,0.416,235,1.14779,0.162368,8
0.416,0.417,220,1.14466,0.132188,8
0.417,0.418,184,0.921522,0.0797093,8
0.418,0.419,167,0.834055,0.123296,8
0.419,0.42,161,0.788528,0.107868,8
0.42,0.421,181,0.931291,0.0671415,8
0.421,0.422,215,1.11219,0.078749,8
0.422,0.423,191,0.975996,0.0648557,8
