regime,granularity,variant,method,seed,primary,n_parents,median_children,median_duration_s,median_q_btc,median_participation,positive_share,mean_impact_bps,mean_100ms_bps,median_end_price_delay_s,trajectory_half,positive_only_delta,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
stress,aggressive,threshold_wait20s,time_threshold,7,False,6260,2.0,19.4221285,0.00576288,0.24174685603625576,0.5242811501597444,0.6821446917531435,0.7166513274118046,2.5272414999999997,0.18086869458171545,0.10399999999999998,0.26,0.04817443043331942,0.8511244713467804,0.8166894206013569,False,15
stress,aggressive,threshold_wait20s,time_threshold,23,False,6325,2.0,19.759879,0.005424269999999999,0.2436576582152347,0.5253754940711463,0.6380533374505412,0.672572203781511,2.328726,0.38394738243217647,0.055999999999999994,0.123,0.010834695990509518,0.40515774013076944,0.46507522839085225,False,17
stress,aggressive,threshold_wait20s,time_threshold,71,False,6300,2.0,20.026224499999998,0.005576454999999999,0.2366288754123278,0.516984126984127,0.6512182370696644,0.6800246636885414,2.4268929999999997,0.5059044646447368,0.07500000000000001,0.138,0.011718784317926778,0.5228095394083268,0.6285365545057103,False,15
stress,aggressive,local_run_1s,local_runs,7,True,28359,2.0,0.363068,0.007552480000000001,0.9999999999995672,0.6384921894284001,0.984293908884866,0.9659142042962268,2.715454,0.392243230946848,0.23399999999999999,0.36900000000000005,0.102166671880182,0.8151998166875236,0.5726319404910767,False,20
stress,fill,random_n6,random_traders,7,True,79290,3.0,12.986642499999999,0.007939370000000001,0.18356742305197066,0.7215916256778913,1.8825818124878908,1.947204135734343,1.93787,0.5142868563852335,0.173,0.23099999999999998,0.09169685774495352,0.9020707385245561,0.7252330855329316,False,20
stress,fill,random_n6,random_traders,23,True,79254,3.0,12.869002,0.007900185,0.18335419018798646,0.7229288111641052,1.8891813726716218,1.954275867528203,1.9503285,0.5083958698378443,0.137,0.21200000000000002,0.0789481018076073,0.9178244292889681,0.7584121874321007,False,20
stress,fill,random_n6,random_traders,71,True,79454,3.0,12.865804,0.00795969,0.1832399214804346,0.7213733732725854,1.8831834765543034,1.949076451526966,1.9328335,0.5139720742530879,0.17099999999999999,0.21500000000000002,0.08111278823455205,0.9503526235678089,0.793675425573211,False,20
stress,fill,threshold_wait5s,time_threshold,7,True,12213,2.0,6.993561,0.0016952400000000002,0.15584524477729186,0.5628428723491362,0.7589403031431959,0.7994109669290873,2.227401,0.4142292772174357,0.127,0.177,0.026183090716901166,0.6266341267105939,0.5264359408248382,False,15
stress,fill,threshold_wait5s,time_threshold,23,True,12085,2.0,6.950922,0.00168915,0.1601684770308094,0.5606950765411667,0.7434653882525134,0.7893444712622393,2.150593,0.46334978135966465,0.10799999999999998,0.044999999999999984,0.004585310561070461,0.08966358541273722,0.11371067616315644,False,16
stress,fill,threshold_wait5s,time_threshold,71,True,12204,2.0,7.053185,0.00170436,0.1571217652220494,0.5637495902982629,0.751555573057793,0.7955431588281329,2.2087554999999996,0.47723546961271707,0.09599999999999997,0.10299999999999998,0.009694052916765797,0.4141525307195294,0.45137935064404155,False,15
