clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,2.4166666666666665,0.7911202629355315,1.19792100682918,0.033645748593605564,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.5,0.7924038874296402,1.1998646819167924,0.03399894718020269,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.583333333333333,0.791768752259577,1.198902954859554,0.034499861848559944,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.6666666666666665,0.7882327969776942,1.1935487814047385,0.03491570592802589,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.75,0.7859649024615867,1.1901147163081915,0.03536154716723027,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.833333333333333,0.7792177847136278,1.179898173432853,0.03574115840927539,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.9166666666666665,0.7812145006967852,1.1829216176965867,0.03627985668789867,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,3.0,0.7854768528540336,1.1893757074562463,0.03687705838520536,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,0.1,0.7018631017088508,1.0596109939846248,0.02410704420544455,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,1.0,0.7631207439710376,1.1520923782439674,0.02559353135540654,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,5.0,0.7828540773109602,1.181884024084924,0.02857630284109293,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,15.0,0.7968442225256366,1.203005111147087,0.0342285947145444,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,30.0,0.8278194568600629,1.2497687873712624,0.04168667379251965,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,60.0,0.8487466898654569,1.2813628776036792,0.05482565352496011,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,180.0,0.9885563643685502,1.492435190435339,0.09004490656185013,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,600.0,1.0177740806559532,1.5365455209568863,0.15372822572359027,8342,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.0,0.4212215136443534,0.6362017867356863,0.022366023134692728,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.0833333333333333,0.7401148054181725,1.1178497449542324,0.025145997117590194,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.1666666666666667,0.7538195015024158,1.138548953928698,0.026112529136528475,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.25,0.7613558483583286,1.1499316520575493,0.02649483199470098,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.3333333333333333,0.7642553138083041,1.154310927664565,0.02692009699677582,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.4166666666666665,0.7682871706074634,1.1604005370895318,0.027565899830557444,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.5,0.7658965863445935,1.1567898621118426,0.028165000382011165,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.5833333333333333,0.7742829301734306,1.1694563730930239,0.028474059122500048,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.6666666666666665,0.7769298605716084,1.1734542264650325,0.028796062605529135,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.75,0.7854043060703864,1.1862538038685477,0.029356743804364725,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,1.8333333333333333,0.789846261015167,1.1929628146406208,0.02994093680488757,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
